SERIAL  NO,DATE ,DESCRIPTION ,,AMOUNT ,SERIAL NO,DATE,SPENDED ,,AMOUNT ,@,,,,,,,
,,,,,315,10/07/2024,rent+motor charge,-,1300,,,,,,,,
,,,,,316,10/07/2024,vegetable ,-,25,,,,,,,,
,,,,,317,12/07/2024,spare,-,10,,,,,,,,
,,,,,318,12/07/2024,food,-,60,,,,,,,,
,,,,,319,12/07/2024,Goes to Scholarship Money ,-,400,,,,,,,,
,,,,,320,13/07/2024,Vegetable +curd+can,-,90,,,,,,,,
,,,,,321,14/07/2027,electricity bill,-,200,,,,,,,,
,,,,,322,14/07/2024,food,-,46,,,,,,,,
,,,,,323,15/07/2024,spare,-,30,,,,,,,,
,,,,,324,16/07/2024,food + Xerox ,-,111,,,,,,,,
,,,,,325,17/07/2024,food,-,46,,,,,,,,
,,,,,326,18/07/2024,spare + snacks+ dhanush ,-,98,,,,,,,,
,,,,,323,18/07/2024,vegetable +egg+can,-,70,,,,,,,,
,,,,,324,19/07/2024,food+ milk,-,104,,,,,,,,
,,,,,325,20/07/2024,spare,-,20,,,,,,,,
,,,,,326,20/07/2024,Zomato Gold+curd+egg+snacks ,-,70,,,,,,,,
,,,,,327,21/07/2024,food+chicken +masala,-,170,,,,,,,,
,,,,,328,22/04/2024,mrng food + AN food+ can ,-,158,,,,,,,,
,,,,,329,23/07/2024,spare + dhanush +coke+milk+curd+snack,-,74,,,,,,,,
,,,,,330,23/07/2024,kovil,-,80,,,,,,,,
,,,,,331,24/07/2024,Ganapathi Function ,-,100,,,,,,,,
,,,,,332,24/07/2024,chicken+curd+masala+egg+juice ,-,196,,,,,,,,
,,,,,333,25/07/2024,function spare+juice +can,-,140,,,,,,,,
,,,,,334,26/07/2024,room to busstop + again busstop to walaja to arcot,-,93,,,,,,,,
,,,,,335,26/07/2024,Arcot to thiruvalam  to arcot to home,-,51,,,,,,,,
,,,,,336,26/07/2024,food+ theatre +icecream +waterbottle ,-,337,,,,,,,,
,,,,,337,27/07/2024,busspare,-,40,,,,,,,,
,,,,,338,30/07/2024,snacks +recharge ,-,64,,,,,,,,
,,,,,339,31/07/2024,nivi's baby bday gift ,-,200,,,,,,,,
,,,,,340,31/07/2024,esi to muthukadai to clg to arcot,-,104,,,,,,,,
,,,,,341,31/07/2024,dbms record,-,85,,,,,,,,
,,,,,342,01/08/2024,malaimedu to muthukadai to clg ,-,55,,,,,,,,
,,,,,343,01/08/2024,water +juice +food order,-,128,,,,,,,,
,,,,,344,01/08/2024,imman,-,32,,,,,,,,
,,,,,345,02/08/2024,food+haircut+goodnight+roller+buds+juice,-,366,,,,,,,,
,,,,,346,02/08/2024,AN food +juice + maggie,-,160,,,,,,,,
,,,,,347,03/08/2024,spare,-,30,,,,,,,,
,,,,,348,03/08/2024,biscuit +juice ,-,50,,,,,,,,
,,,,,349,04/08/2024,food+recharge ,-,97,,,,,,,,
,,,,,350,05/08/2024,spare+curd,-,30,,,,,,,,
,,,,,351,06/08/2024,spare ,-,20,,,,,,,,
,,,,,352,06/08/2024,vegetable +can,-,62,,,,,,,,
,,,,,353,07/08/2024,rosemil+bun+detergent ,-,100,,,,,,,,
,,,,,354,07/08/2024,NM record + order,-,215,,,,,,,,
,,,,,355,08/08/2024,spare+dhanush.recharge,-,62,,,,,,,,
,,,,,356,09/08/2024,chicken +masala,-,125,,,,,,,,
,,,,,357,09/08/2024,masala +curd+powder+pepsi,-,110,,,,,,,,
,,,,,358,10/08/2024,rent,-,1250,,,,,,,,
,,,,,359,10/08/2024,order,-,190,,,,,,,,
,,,,,360,11/08/2024,egg+can+Bannana ,-,37,,,,,,,,
,,,,,361,12/08/2024,spare,-,20,,,,,,,,
,,,,,362,12/08/2024,tea+puff+vegetable ,-,145,,,,,,,,
,,,,,363,13/08/2024,mrng food +tea,-,42,,,,,,,,
,,,,,364,14/08/2024,clg spare + tea+home spare,-,148,,,,,,,,
,,,,,365,16/08/2024,home to railway + mrng food +bank,-,149,,,,,,,,
,,,,,366,16/08/2024,Chennai Computer spare + Metro,-,115,,,,,,,,
,,,,,377,16/08/2024,AN food + richtie street +central spare,-,171,,,,,,,,
,,,,,378,17/06/2024,ration + snacks ,-,80,,,,,,,,
,,,,,379,18/08/2024,Laptop skin + juice ,-,170,,,,,,,,
,,,,,380,18/08/2024,home to Arcot to room+juice ,-,72,,,,,,,,
,,,,,381,19/08/2024,spare + tea+ panni poori+can,-,85,,,,,,,,
,,,,,382,20/08/2024,tea + spare + milk+egg,-,94,,,,,,,,
,,,,,383,21/08/2024,spare+supermarket +panni pori,-,333,,,,,,,,
,,,,,384,22/08/2024,spare+can+juice ,-,65,,,,,,,,
,,,,,385,23/08/2024,egg+spare+juice +note,-,72,,,,,,,,
,,,,,386,23/08/2024,room to busstop to arcot to home,-,72,,,,,,,,
,,,,,387,24/08/2024,juice + chicken ,-,130,,,,,,,,
,,,,,388,25/08/2024,recharge ,-,50,,,,,,,,
,,,,,389,26/08/0202,recharge ,-,19,,,,,,,,
,,,,,390,27/08/2024,Home to Arcot to room,-,53,,,,,,,,
,,,,,391,28/08/2024,spare+tea,-,105,,,,,,,,
,,,,,392,29/08/2029,mrng+an food+spare +tea+food,-,115,,,,,,,,
,,,,,393,30/08/2024,spare+juice +tea,-,63,,,,,,,,
,,,,,394,31/08/2024,food,-,50,,,,,,,,
,,,,,394,01/09/2024,vegetable +curd+banana ,-,45,,,,,,,,
,,,,,395,02/09/2024,spare +tea +revaluation ,-,35,,,,,,,,
,,,,,396,03/09/2024,spare+juice ,-,50,,,,,,,,
,,,,,397,04/09/2024,food + water+spare ,-,50,,,,,,,,
,,,,,398,05/09/2024,juice ,-,20,,,,,,,,
,,,,,399,06/09/2024,room to home + juice,-,63,,,,,,,,
,,,,,400,09/09/2024,home to clg +spare+food +can+egg,-,177,,,,,,,,
,,,,,401,10/09/2024,spare+ food +room to home+chicken ,-,244,,,,,,,,
,,,,,402,11/09/2024,rent,-,1250,,,,,,,,
,,,,,402,11/09/2024,home to clg to room + vegetable ,-,105,,,,,,,,
,,,,,403,12/09/2024,mrng food+spare+egg+salt+electricity ,-,359,,,,,,,,
,,,,,404,13/09/2024,spare+rice+bakery,-,135,,,,,,,,
,,,,,405,14/09/2024,room to home + juice+chicken ,-,218,,,,,,,,
,,,,,406,15/09/2024,petrol+donate +parking +unknown ,-,200,,,,,,,,
,,,,,407,16/09/2024,home to Arcot to room,-,57,,,,,,,,
,,,,,408,16/09/2024,egg+banana+juice +can,-,49,,,,,,,,
,,,,,409,18/09/2024,haircut + juice +spare+unknown ,-,222,,,,,,,,
,,,,,410,19/09/2024,can+spare+biscuit +banana +juice,-,80,,,,,,,,
,,,,,411,21/09/2024,spare,-,10,,,,,,,,
,,,,,412,21/09/2024,AN food,-,120,,,,,,,,
,,,,,413,23/09/2024,spare + food+ panni poori ,-,20,,,,,,,,
,,,,,414,23/09/2024,IV amount  + recharge ,-,950,,,,,,,,
,,,,,415,24/09/2024,spare + tea+biscuit +can+snacks ,-,84,,,,,,,,
,,,,,416,25/09/2024,spare +snacks ,-,56,,,,,,,,
,,,,,417,26/09/2024,spare+vegetable ,-,70,,,,,,,,
,,,,,418,27/09/2024,spare+juice ,-,50,,,,,,,,
,,,,,419,28/09/2024,spare+food+snacks+juice ,-,140,,,,,,,,
,,,,,420,29/09/2024,room to home + chocolate ,-,110,,,,,,,,
,,,,,421,30/09/2024,mrng snacks+an food+park tickets +observe snack+water bottle ,-,488,,,,,,,,
,,,,,422,01/10/2024,Mrng food +AN food +petrol+chicken+juice,-,240,,,,,,,,
,,,,,423,02/10/2024,AN food + screw driver+ snacks ,-,115,,,,,,,,
,,,,,424,02/10/2024,home to Arcot to walaja to toll to room,-,73,,,,,,,,
,,,,,425,03/10/2024,Spare+food+canteen+teatime+note,-,170,,,,,,,,
,,,,,426,04/10/2024,spare+room to kpm to arcot to home,-,97,,,,,,,,
,,,,,427,04/10/0204,juice + snacks +chicken ,-,85,,,,,,,,
,,,,,428,05/10/2024,snacks +sidd,-,40,,,,,,,,
,,,,,429,06/10/2024,Recharge ,-,19,,,,,,,,
,,,,,430,07/10/2024,Home to Arcot to Room spare + snacks,-,171,,,,,,,,
,,,,,431,08/10/2025,food + can +snacks,-,130,,,,,,,,
,,,,,432,09/10/2024,spare + tea + juice,-,95,,,,,,,,
,,,,,433,10/10/2024,sugan + dinner,-,287,,,,,,,,
,,,,,434,11/10/2021,food+rent,-,1338,,,,,,,,
,,,,,435,12/10/2024,room to arcot to home+samosa+donate ,-,97,,,,,,,,
,,,,,436,12/10/2024,pannipoori+ recharge ,-,80,,,,,,,,
,,,,,437,13/10/2024,home to Arcot to room ,-,60,,,,,,,,
,,,,,438,13/10/2024,Supermarket + dinner ,-,188,,,,,,,,
,,,,,439,14/10/2024,cycle stand + spare + dinner,-,155,,,,,,,,
,,,,,440,15/10/2024,can + egg+tomato ,-,57,,,,,,,,
,,,,,441,16/10/2024,vegetable ,-,13,,,,,,,,
,,,,,442,17/10/2024,spare + an food,-,145,,,,,,,,
,,,,,443,18/10/2024,spare+bakery +topup,-,137,,,,,,,,
,,,,,444,19/10/2024,spare+ supermarket ,-,133,,,,,,,,
,,,,,445,19/10/2024,chiken +can +vegetable +juice,-,344,,,,,,,,
,,,,,446,21/10/2024,spare + bread +recharge ,-,414,,,,,,,,
,,,,,447,22/10/2024,spare + symposium +tea+soda,-,561,,,,,,,,
,,,,,448,23/10/2024,tea  + food,-,80,,,,,,,,
,,,,,449,24/10/2024,tea time ,-,68,,,,,,,,
,,,,,450,25/10/2024,food + milk,-,40,,,,,,,,
,,,,,451,26/10/2024,can+detergent +soap,-,55,,,,,,,,
,,,,,452,26/10/2024,pen + dinner+auto,-,310,,,,,,,,
,,,,,453,27/10/2024,note +pen,-,35,,,,,,,,
,,,,,454,28/10/2024,spare+juice+bannana+vegetable ,-,125,,,,,,,,
,,,,,455,29/10/2024,spare+bannana+milk,-,60,,,,,,,,
,,,,,456,29/10/2024,room to kpm to arcot to esi,-,73,,,,,,,,
,,,,,457,2/11/2024,Recharge (janani),-,26,,,,,,,,
,,,,,458,3/11/2024,Home to Arcot to kpm + milk,-,68,,,,,,,,
,,,,,459,04/11/2024,Spare+xerox,-,40,,,,,,,,
,,,,,460,05/11/2024,Order ,-,88,,,,,,,,
,,,,,461,06/11/2023,spare+haircut+tea+milk+donate,-,285,,,,,,,,
,,,,,462,07/11/2024,spare,-,20,,,,,,,,
,,,,,463,08/11/2024,spare+tea+can,-,70,,,,,,,,
,,,,,464,09/11/2024,coffee + pen + dinner,-,85,,,,,,,,
,,,,,465,10/11/2024,Rent + Electricity ,-,1485,,,,,,,,
,,,,,466,10/11/2024,Tea + Vishwa Bday,-,100,,,,,,,,
,,,,,467,10/11/2024,shorts ,-,190,,,,,,,,
,,,,,468,11/11/2024,spare + food+juice,-,115,,,,,,,,
,,,,,469,12/11/2024,spare+tea+panni poori,-,100,,,,,,,,
,,,,,470,13/11/2024,spare+tea,-,40,,,,,,,,
,,,,,472,14/11/2024,spare + supermarket + soup +bakery,-,335,,,,,,,,
,,,,,473,15/11/2024,spare + food +juice+night food,-,100,,,,,,,,
,,,,,474,16/11/2024,spare + record + food +tea,-,190,,,,,,,,
,,,,,475,17/11/2024,Food+biscuit ,-,160,,,,,,,,
,,,,,476,18/11/2024,Spare + Tea + Grocery  + Recharge ,-,480,,,,,,,,
,,,,,477,19/11/2024,spare + vegetable + snacks,-,114,,,,,,,,
,,,,,478,20/11/2024,spare +tea + bakery + Maggie+egg,-,121,,,,,,,,
,,,,,479,21/11/2024,spare + paratto +juice & snacks ,-,60,,,,,,,,
,,,,,480,22/11/2024,spare+bakery+canteen +tea,-,117,,,,,,,,
,,,,,481,22/11/2024,Kpm to Arcot to home,-,68,,,,,,,,
,,,,,482,23/11/2024,FF topup,-,29,,,,,,,,
,,,,,483,24/11/2024,Bakery + topup+recharge ,-,106,,,,,,,,
,,,,,484,25/11/2024,Bakery + recharge ,-,84,,,,,,,,
,,,,,485,26/11/2024,Recharge ,-,87,,,,,,,,
,,,,,486,28/11/2024,Mng bus+train ticket+donate +somasa,-,83,,,,,,,,
,,,,,487,28/11/2024,Mrng Food + Tirumala Ticket +snacks,-,270,,,,,,,,
,,,,,488,28/11/2024,mbl ticket + Nyt food + hundi + laddoo,-,196,,,,,,,,
,,,,,489,29/11/2024,Mrng Food +photo + frame + shopping,-,1010,,,,,,,,
,,,,,490,29/11/2024,AN food+Train ticket+Bus tickets+kishore,-,240,,,,,,,,
,,,,,491,29/11/2024,kishore balance + unknown ,-,80,,,,,,,,
,,,,,492,01/12/2024,vellam +masala home to Arcot to room,:,120,,,,,,,,
,,,,,493,02/12/2024,uiux record+Cn record+spare+food+tea,-,366,,,,,,,,
,,,,,494,03/12/2024,spare+biscuit+ponnipoori+bannana+food,-,187,,,,,,,,
,,,,,495,04/12/2024,spare +can + food,-,160,,,,,,,,
,,,,,496,05/12/2024,spare+Bakery+buji+masala+pillow+chicken ,-,170,,,,,,,,
,,,,,497,06/12/2024,gift(frame+wrapping),-,900,,,,,,,,
,,,,,498,07/12/2024,room to busstand+juice+biscuit+gift cover,-,150,,,,,,,,
,,,,,499,07/12/2024,exam fees + redeem + manavalan return ,-,2160,,,,,,,,
,,,,,500,08/12/2024,spare +Bakery +tablet +vegetable+curd ,-,155,,,,,,,,
,,,,,501,09/12/2024,Xerox+tea+rice+tea,-,162,,,,,,,,
,,,,,502,10/12/2024,Rent+thailam+roomtohome+juice+chicken ,-,1405,,,,,,,,
,,,,,503,11/12/2024,Chicken+beaf,-,90,,,,,,,,
,,,,,504,12/12/2024,Recharge ,-,29,,,,,,,,
,,,,,505,14/12/2024,Ticket+petrol+Tea+AN food+Bakery+ice,-,194,,,,,,,,
,,,,,506,14/12/2024,v2ku lamp oil,-,98,,,,,,,,
,,,,,507,15/12/2024,chicken ,-,70,,,,,,,,
,,,,,508,17/12/2024,Recharge +Bakery,-,125,,,,,,,,
,,,,,509,18/12/2024,bakery +recharge ,-,79,,,,,,,,
,,,,,510,20/12/2024,WALAJA toll to clg to room+dinner,-,100,,,,,,,,
,,,,,511,21/12/2024,spare+falooda ,-,140,,,,,,,,
,,,,,512,22/12/2024,chicken + snacks + egg +curd+juice+coil,-,211,,,,,,,,
,,,,,513,23/12/2024,can+mrng+nytfood+milk+egg+biscuit+tea,-,172,,,,,,,,
,,,,,514,24/12/2024,Chicken+masala+vegetable+tea,-,130,,,,,,,,
,,,,,515,24/12/2024,cake + mukilan +prakash +tea,-,130,,,,,,,,
,,,,,516,25/12/2024,snacks+curd+bannana ,-,69,,,,,,,,
,,,,,517,26/12/2024,spare+bakery+kfc+outgoing ,-,362,,,,,,,,
,,,,,518,27/12/2024,juice+room to kpm to arcot to home,-,116,,,,,,,,
,,,,,519,28/12/2024,harddiskcase+dhanush+topup+chiken,-,373,,,,,,,,
,,,,,520,29/12/2024,Recharge ,-,0,,,,,,,,
,,,,,521,30/12/2024,Bakery+joshua scammed,-,-31,,,,,,,,
,,,,,522,31/12/2024,recharge ,-,11,,,,,,,,
,,,,,523,1/1/2025,curd+fevicol +snacks,-,27,,,,,,,,
,,,,,524,2/1/2025,snacks+recharge +lapdue,-,7975,,,,,,,,
,,,,,525,3/1/2025,home to Arcot to room to clg+cake,-,179,,,,,,,,
,,,,,526,3/1/2025,room to kpm to arcot to home,,,,,,,,,,
,,,,,527,4/1/2025,gokul train + curd+juice+recharge ,-,-12,,,,,,,,
,,,,,528,5/1/2025,juice+flower,-,50,,,,,,,,
,,,,,529,6/1/2025,muuchstac facewash,-,298,,,,,,,,
,,,,,530,7/1/2025,recharge +snacks,-,84,,,,,,,,
,,,,,531,8/1/2025,bakery +recharge ,-,94,,,,,,,,
,,,,,532,10/1/2025,Room rent,-,1250,,,,,,,,
,,,,,533,13/1/2025.,electricity+motor bill + (Pooja things),-,219,,,,,,,,
,,,,,534,13/1/2025,petrol +tea,-,34,,,,,,,,
,,,,,535,14/1/2025,curd,-,12,,,,,,,,
,,,,,536,15/1/2025,Recharge ,-,350,,,,,,,,
,,,,,537,20/1/2024,muthukadai to WALAJA to room to clg,-,306,,,,,,,,
,,,,,538,20/1/2024,tea+spare+haircut+food,,,,,,,,,,
,,,,,539,21/1/2025,milk+tea powder +mosquito killer,-,31,,,,,,,,
,,,,,540,22/01/2025,food+juice+milk,-,145,,,,,,,,
,,,,,541,23/01/2025,spare + bakery +food +bannana ,-,148,,,,,,,,
,,,,,542,24/1/2025,bakery+masala+milk,-,80,,,,,,,,
,,,,,543,25/1/2025,"food,room to kpm to arcot to home,water",-,134,,,,,,,,
,,,,,544,01/02/2025,chicken +beaf,-,90,,,,,,,,
,,,,,545,02/02/2024,Petrol +Recharge ,-,121,,,,,,,,
,,,,,546,03/02/2025,Recharge ,-,69,,,,,,,,
,,,,,547,07/02/2025,Recharge ,-,29,,,,,,,,
,,,,,548,08/02/2025,Panni poori + beef,-,75,,,,,,,,
,,,,,549,9/2/2025,Cement ,-,80,,,,,,,,
,,,,,550,10/2/2025,Room Rent+anni scan tip,-,1270,,,,,,,,
,,,,,550,12/2/2025,Recharge +beef+panni poori+recharge ,-,179,,,,,,,,
,,,,,551,13/2/2025,recharge +scammed,-,129,,,,,,,,
,,,,,552,15/02/2025,beef,-,55,,,,,,,,
,,,,,553,16/2/2025,feviki,-,10,,,,,,,,
,,,,,554,17/2/2025,home to Arcot to bypass to room,-,71,,,,,,,,
,,,,,555,17/2/2025,juice +mosquito ,-,27,,,,,,,,
,,,,,556,18/2/2025,spare+bakery + water,-,95,,,,,,,,
,,,,,557,19/2/2025,icecream + water bottle +donation,-,170,,,,,,,,
,,,,,558,19/2/2025,room to kpm to arcot to home+unknown ,-,121,,,,,,,,
,,,,,559,20/2/2025,petrol +juice +chicken ,-,60,,,,,,,,
,,,,,560,21/2/2025,spare+juice +ticket +tea+snacks,-,264,,,,,,,,
,,,,,561,22/2/2025,kalan + mosquito hunt + juice ,-,70,,,,,,,,
,,,,,562,23/2/2025,tea+nptel,-,1033,,,,,,,,
,,,,,563,24/2/2025,note+spare+xerox+licence half amount ,-,3079,,,,,,,,
,,,,,564,25/2/2025,spare+water+ff,-,69,,,,,,,,
,,,,,565,26/2/2025,spare+food+note,-,60,,,,,,,,
,,,,,566,27/2/2025,canteen +tea+spare+order,-,144,,,,,,,,
,,,,,567,28/2/2025,spare+food,-,64,,,,,,,,
,,,,,568,1/3/2025,food,-,99,,,,,,,,
,,,,,569,2/3/2025,food+snacks+auto,-,215,,,,,,,,
,,,,,570,2/3/2025,Kpm to Madurai to rmd to clg,-,565,,,,,,,,
,,,,,571,3/3/2025,,,,,,,,,,,
,,,,,572,,tea+teatime(breakfast)+bus+rice+bakery,-,311,,,,,,,,
,,,,,573,,shop for frd+tea+water,,,,,,,,,,
,,,,,574,4/3/2025,chgpattu to kpm to auto+spare+snacks+fee,-,105,,,,,,,,
,,,,,575,5/3/2025,spare + food+snacks ,-,145,,,,,,,,
,,,,,576,6/3/2025,spare+baji,-,70,,,,,,,,
,,,,,577,7/3/2025,spare+order+juice ,-,114,,,,,,,,
,,,,,588,8/3/2025,Spare+juice,-,40,,,,,,,,
,,,,,589,09/03/2025,kpm to arcot to home +Detergent ,-,83,,,,,,,,
,,,,,590,10/3/2025,petrol,-,210,,,,,,,,
,,,,,591,11/3/2025,Driver fee + Food + milk+bannana +puffs,-,415,,,,,,,,
,,,,,592,12/3/2025,Ice+food+rent,-,1295,,,,,,,,
,,,,,593,13/3/2025,food+petrol+watermelon+recharge ,-,520,,,,,,,,
,,,,,594,14/3/2025,watermelon ,-,20,,,,,,,,
,,,,,595,15/3/2025,coffee +petrol +water+pannipoori+sprmrk,-,450,,,,,,,,
,,,,,596,16/3/2025,haircut +juice +milk+egg,-,190,,,,,,,,
,,,,,597,17/3/2025,bakery+juice+food+watermelon+petrol,-,219,,,,,,,,
,,,,,598,18/3/2025,food+milk+bannana ,-,82,,,,,,,,
,,,,,599,19/3/2025,snacks + food,-,80,,,,,,,,
,,,,,600,20/3/2025,puff+Petrol,-,140,,,,,,,,
,,,,,601,20/3/2025,jersey + short + bannana +water+food,-,764,,,,,,,,
,,,,,602,21/3/2025,tea+chicken +masala+milk+can+juice,-,190,,,,,,,,
,,,,,603,22/3/2025,swimming pool+food+petrol+food,-,288,,,,,,,,
,,,,,604,23/3/2025,dream11 + chicken+masala,-,119,,,,,,,,
,,,,,605,25/3/2025,food(25)+food(75)+bakery(50),-,168,,,,,,,,
,,,,,606,25/3/2025,Electricity ,-,195,,,,,,,,
,,,,,607,26/3/2025,juice+tea+snacks +cell+petrol ,-,173,,,,,,,,
,,,,,608,26/3/2025,purple +recharge +icecream ,-,113,,,,,,,,
,,,,,609,27/3/2025,cloud ,-,2,,,,,,,,
,,,,,610,28/3/2025,food+order+my11,-,191,,,,,,,,
,,,,,611,29/3/2025,recharge ,-,3,,,,,,,,
,,,,,612,29/3/2025,Emi,-,7881,,,,,,,,
,,,,,613,1/4/2025,home to Arcot to kpm +petrol + tea,-,204,,,,,,,,
,,,,,614,1/4/2025,snacks+Licence Remaining Amount ,-,3020,,,,,,,,
,,,,,615,2/4/2025,food+icecream +food,-,180,,,,,,,,
,,,,,616,3/4/2025,petrol+food+pannipoori+coffee ,-,230,,,,,,,,
,,,,,617,4/4/2025,atm charge + tea + chips,-,394,,,,,,,,
,,,,,618,5/4/2025,food+Tire patch + food + purple ,-,304,,,,,,,,
,,,,,619,7/4/2025,Mrng food + An food+bakery +food,-,202,,,,,,,,
,,,,,620,8/4/2025,juice +chips +Petrol + photo,-,220,,,,,,,,
,,,,,621,9/4/2025,driving fee + duplicate licence + food,-,355,,,,,,,,
,,,,,622,10/4/2025,Food + petrol + watermelon +chicken ,-,350,,,,,,,,
,,,,,623,11/4/2025,bakery + recharge ,-,131,,,,,,,,
,,,,,624,12/4/2025,rent,-,1250,,,,,,,,
,,,,,625,13/4/2025,phone repair +clean kit+temper+petrol,-,1010,,,,,,,,
,,,,,626,13/4/2025,tea+food+bannana +watermelon +juice,-,270,,,,,,,,
,,,,,627,15/4/2025,Lalapet to arcot to kpm +juice ,-,77,,,,,,,,
,,,,,628,15/4/2025,room to busstand to arcot to home,-,77,,,,,,,,
,,,,,629,16/4/2025,Recharge + appa,-,130,,,,,,,,
,,,,,630,17/4/2055,beef+pannipoori ,-,89,,,,,,,,
,,,,,631,18/4/2025,kalan +beef + recharge ,-,229,,,,,,,,
,,,,,632,20/4/2025,home to Arcot to room ,-,57,,,,,,,,
,,,,,633,20/4/2025, juice +Bannana + water +mosquito hunt,-,40,,,,,,,,
,,,,,634,21/4/2025,milk + bannana +spare+ can,-,110,,,,,,,,
,,,,,635,21/4/2025,fan repair + vegetable + dosa maavu,-,286,,,,,,,,
,,,,,636,22/4/2025,Spare + Egg + juice + milk + hotstar,-,96,,,,,,,,
,,,,,637,23/4/2025,spare,-,20,,,,,,,,
,,,,,638,24/4/2025,spare+Spotify +juice +milk+vegetable ,-,203,,,,,,,,
,,,,,639,25/4/2025,spare+juice +bannana +applam+food,-,191,,,,,,,,
,,,,,640,26/4/2025,room to kpm to bike +petrol + to kpm ,-,130,,,,,,,,
,,,,,641,26/4/2025,juice + water+food,-,217,,,,,,,,
,,,,,642,27/4/2025,rice + bannana +detergent ,-,94,,,,,,,,
,,,,,643,27/4/2025,haircut +bannana +watermelon +milk,-,248,,,,,,,,
,,,,,644,28/4/2025,spare +printout,-,60,,,,,,,,
,,,,,645,29/4/2025,Spare+bakery +food+juice ,-,215,,,,,,,,
,,,,,646,30/4/2055,spare + food+can+bannana +juice,-,155,,,,,,,,
,,,,,647,1/5/2055,chicken + vegetable +milk+masala,-,187,,,,,,,,
,,,,,648,2/5/2025,spare + movie ticket + bakery + tamilavan,-,80,,,,,,,,
,,,,,649,3/5/2025,Tiffin + Lunch+juice,-,255,,,,,,,,
,,,,,650,4/5/2025,Tiffin+fan+wire+curd+snacks+bannana ,-,157,,,,,,,,
,,,,,651,5/5/2025,spare + teatime +bakery+mukilan+juice,-,110,,,,,,,,
,,,,,652,6/5/2025,spare + watermelon + kalan+recharge ,-,184,,,,,,,,
,,,,,653,7/5/2025,spare + teatime+ food+juice,-,196,,,,,,,,
,,,,,654,8/5/2025,food + bannana +milk,-,127,,,,,,,,
,,,,,655,9/5/2025,spare + vadai + teatime + food + juice,-,152,,,,,,,,
,,,,,656,9/5/2025,room to kpm to arcot to nivi,-,74,,,,,,,,
,,,,,657,10/5/2025,nivi home to home + movie,-,392,,,,,,,,
,,,,,658,11/5/2025,rent,-,1250,,,,,,,,
,,,,,659,12/5/2025,arcot to room + teatime +recharge +food,-,287,,,,,,,,
,,,,,660,13/5/2025,juice+milk,-,50,,,,,,,,
,,,,,661,14/5/2025,spare+food+bakery+kerchief+melon+kalan,-,224,,,,,,,,
,,,,,662,15/5/2025,spare + juice +bannana ,-,75,,,,,,,,
,,,,,663,16/5/2025,spare + vegetable ,-,65,,,,,,,,
,,,,,664,17/5/2025,pencil + pen,-,15,,,,,,,,
,,,,,665,18/5/2025,chicken+vegetable+egg+Maggi+appalam,-,160,,,,,,,,
,,,,,666,18/5/2025,juice+bannana+milk,-,47,,,,,,,,
,,,,,667,19/5/2025,spare + can + vadai + vegetable +juice ,-,108,,,,,,,,
,,,,,668,20/5/2025,spare + snacks ,-,88,,,,,,,,
,,,,,669,21/5/2025,spare + clg to arcot to esi + juice +vesti,-,392,,,,,,,,
,,,,,670,22/5/2025,home to toll gate to kpm+scent+earings+choci,-,223,,,,,,,,
,,,,,671,23/5/2025,spare + food+ dinner,-,232,,,,,,,,
,,,,,672,24/5/2025,FF topup + spare + food + juice ,-,250,,,,,,,,
,,,,,673,25/5/2025,milk+bannana +juice +food+spare,-,125,,,,,,,,
,,,,,674,26/5/2025,turf + juice + spare + record + order,-,307,,,,,,,,
,,,,,675,27/5/2025,spare+record +sticky notes + recharge ,-,386,,,,,,,,
,,,,,676,28/5/2025,spare+juice+snacks+bun,-,170,,,,,,,,
,,,,,677,29/5/2025,food,-,145,,,,,,,,
,,,,,678,30/5/2025,milk+bannana+rapido+chicken+juice,-,135,,,,,,,,
,,,,,679,30/5/2025,exam fees,-,2100,,,,,,,,
,,,,,680,31/5/2025,spare+pizza+juice+food+juice+milk,-,239,,,,,,,,
,,,,,681,1/6/2025,food + parotta + milk,-,129,,,,,,,,
,,,,,682,2/6/2025,spare+can+snacks+tea+puffs,-,196,,,,,,,,
,,,,,683,3/6/2025,curd+milk +snacks ,-,50,,,,,,,,
,,,,,684,4/6/2025,mukilan + juice,-,80,,,,,,,,
,,,,,685,5/6/2025,New House Advance ,-,5000,,,,,,,,
,,,,,686,5/6/2025,food+macoroni+samiya+milk+ketchup+snacks ,-,199,,,,,,,,
,,,,,687,6/6/2025,spare+scale+juice+can+maavu+domino ,-,327,,,,,,,,
,,,,,688,7/6/2025,tea + kulfi,-,62,,,,,,,,
,,,,,689,8/6/2025,food+snacks +milk+bannana +order,-,279,,,,,,,,
,,,,,690,9/6/2025,supermarket+juice+spare+betnovate cream,-,338,,,,,,,,
,,,,,691,10/6/2025,order+snacks+Rent from advance ,-,1454,,,,,,,,
,,,,,692,11/6/2025,spare+juice+milk+bannana ,-,101,,,,,,,,
,,,,,693,12/6/2025,curd+milk +snacks+pen,-,104,,,,,,,,
,,,,,694,13/6/2025,spare + juice + bakery+juice ,-,145,,,,,,,,
,,,,,695,14/6/2025,oil+snacks+curd+order,-,293,,,,,,,,
,,,,,696,15/6/2025,vegetables+tea+panni poori+milk+water,-,162,,,,,,,,
,,,,,697,16/6/2025,karpuram+auto+clean things+food+juicesnack,-,469,,,,,,,,
