SERIAL  NO,DATE ,DESCRIPTION ,,AMOUNT ,SERIAL NO,DATE,SPENDED ,,AMOUNT ,@,,,,,,,
68,21/09/2024,appa,-,1000,68,15/02/2024,bakery ,-,75,,,,,,,,
69,27/09/2024,anna,-,500,69,15/02/2024,chicken ,-,68,,,,,,,,
70,29/09/2024,appa+amma,-,1000,70,16/02/2024,juice ,-,20,,,,,,,,
71,02/10/2024,appa,-,1100,71,16/02/2024,busspare,-,20,,,,,,,,
72,06/10/2024,appa+amma,-,2000,72,16/02/2024,chicken ,-,100,,,,,,,,
73,06/10/2024,amma,-,100,73,17/02/2024,Bakery,-,140,,,,,,,,
74,27/10/2024,appa,-,500,74,18/02/2024,order delivery charge,-,30,,,,,,,,
74,21/10/2024,amma account ,-,1000,75,19/02/2024,snacks ,-,60,,,,,,,,
75,21/10/2024,anna,-,300,76,19/02/2024,video,-,50,,,,,,,,
76,28/10/2024,gokul,-,200,77,19/02/2024,recharge ,-,37,,,,,,,,
77,03/11/2024,mano,-,50,78,20/02/2024,Watermelon ,-,20,,,,,,,,
78,04/11/2024,appa + amma,-,420,79,20/02/2024,juice,-,20,,,,,,,,
79,04/11/2024,rummy ,-,150,80,20/02/2024,TNPSC,-,170,,,,,,,,
80,07/11/2024,appa for rent,-,2000,81,20/02/2024,petrol,-,100,,,,,,,,
81,10/11/2024,anna,-,200,82,21/02/2024,Ther Pooja and etc spare,-,127,,,,,,,,
82,13/11/2024,appa,-,2000,83,22/02/2024,Dhanush ,-,20,,,,,,,,
83,24/11/2024,appa,-,900,84,22/02/2024,Electronic gadgets ,-,400,,,,,,,,
84,28/11/2024,appa+amma,-,330,85,22/02/2024,appa phone back cover,-,120,,,,,,,,
85,28/11/2024,my amount for diwali dress,-,1000,86,22/02/2024,ice cream ,-,60,,,,,,,,
86,01/12/2024,Appa + amma,-,600,87,22/02/2024,Petrol,-,50,,,,,,,,
87,04/12/2024,madhan anna,-,1000,88,23/02/2024,ther,-,230,,,,,,,,
88,06/12/2024,Manavalan ,-,200,89,25/02/2024,haircut(170)  + medicine (23),-,200,,,,,,,,
89,07/12/2024,Appa for (fees & rent),-,4000,90,26/02/2024,bus spare,-,50,,,,,,,,
90,0/11-12/2024,Forget ,-,640,91,27/02/2024,order,-,100,,,,,,,,
91,14/12/2024,patti,-,2000,92,27/02/2024,curd+chips,-,30,,,,,,,,
92,20/12/2024,Amma+appa,-,1500,93,27/02/2024,spare ,-,40,,,,,,,,
93,22/12/2024,Kavitha ,-,200,94,28/02/2024,spare,-,20,,,,,,,,
94,01/01/2025,Appa,-,10000,95,28/02/2024,order,-,49,,,,,,,,
95,03/01/2025,Money Exchanged (Normal to Personal),-,-1700,96,28/02/2024,tea+fish+egg,-,98,,,,,,,,
96,13/01/2025,anna for dress(transfered to personal),-,0,99,28/02/2024,order,-,96,,,,,,,,
97,14/01/2024,amma+appa account ,-,300,100,29/02/2024,spare,-,20,,,,,,,,
98,20/01/2025,"amma,appa",-,700,101,29/02/2024,order,-,98,,,,,,,,
